90.813,91.909,91.808,90.156,100.4,86.394,88.02
91.643,92.735,92.174,90.776,100.53,87.268,89.197
92.444,93.065,92.808,91.324,100.37,87.676,90.283
92.501,93.285,93.041,91.634,100.37,88.054,90.741
92.959,93.557,93.374,92.088,100.27,88.083,91.231
93.99,94.515,93.874,92.803,100.7,89.219,92.775
94.047,94.633,94.175,93.304,100.97,89.801,93.294
93.761,94.534,94.241,93.304,100.7,90.442,92.499
94.648,94.642,95.041,93.686,100.17,90.587,93.442
96.05,95.63,95.808,94.282,100.63,91.519,95.234
96.05,95.836,96.308,94.83,100.83,91.403,95.496
96.022,96.747,97.141,95.498,101.23,92.335,96.176
96.337,97.432,97.841,96.548,101.13,92.742,97.269
98.311,98.789,98.575,97.645,102,94.606,99.404
99.342,98.954,99.275,98.599,103,95.8,100.56
97.853,98.453,98.708,98.169,102.27,95.916,97.716
97.539,98.043,98.642,97.979,101,95.538,97.23
98.369,98.585,98.842,98.48,101,96.615,98.261
98.483,98.535,99.042,98.718,100.7,97.197,98.928
98.626,98.811,99.108,98.813,100.2,97.925,99.127
99.113,99.336,99.442,99.243,100.13,98.653,99.525
99.742,100.17,99.942,99.863,100.27,99.934,99.998
100.29,100.05,100.14,100.32,99.7,100.2,100.09
100.86,100.44,100.47,100.58,99.9,101.22,100.39
101.69,101.13,101.31,101.56,99.6,102.73,101.66
103.09,102.25,101.94,102.53,99.833,104.3,103.43
103.29,102.2,102.34,103.13,99.833,104.94,103.85
103.58,102.89,102.71,103.9,99.6,105.96,103.69
104.06,103.47,103.47,104.86,99.9,106.31,104.52
104.72,104.3,103.84,105.9,100.03,107.16,105.38
104.55,104.22,104.41,106.4,99.433,107.48,105.61
104.55,104.47,104.78,106.47,99.367,108.79,105.65
105.01,104.57,105.08,106.86,99.3,109.25,106.28
105.52,105.14,105.41,107.13,99.767,110.04,106.85
105.75,105.2,106.11,107.6,100.3,110.36,107.25
105.52,105.15,106.18,107.2,100.8,111.06,106.96
